afid,organization,addresstext,addresspart,citygroup,affil ID,affil Standardized Name,affil Lat,affil Lng
109869034,"rbf consulting, inc##  ##",,,,109869034,RBF Consulting,33.6514201,-117.7175496
109869035,orbital analytics ##  ##,,101 south players club drive,"tucson, arizona 85745",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869067,energy balance laboratory ##  ##,,,"baton rouge, la",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869089,sapphaire technologies direct ## marketing centre of excellence ## bank of america,,,"charlotte, nc",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869092,aircraft maintenance division ## air mobility command ##,,,,109869092,Travis AFB Main Gate,38.2718505,-121.9538748
109869102,georgia center for cosmetic and implant dentistry ##  ##,,,"marietta, ga",109869102,The Georgia Center for Cosmetic & Implant Dentistry,33.9521653,-84.4120634
109869112,advanced aerial refueling systems ## boeing integrated defensive systems ##,,2401 east wardlow road,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869113,forensics at mount san antonio college ## department of communication ##,,,,109869113,Mt. San Antonio College,34.0476932,-117.8448584
109869120,naval institute ## dental and biomedical research ##,,,"great lakes, il",109869120,USO of Illinois-Great Lakes Center,42.312403,-87.8415418
109869132,"deputy, finance and cost management branch ##  ##",,526th icbm systems wing,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869140,geothermal consultant ##  ##,,,"salt lake city, ut",109869140,Cyrq Energy Inc,40.7632471,-111.8915344
109869149,pcs edventures inc##  ##,,,boise id,109869149,"EdventuresLab Boise After School, Camps, and Robotics",43.5970237,-116.1856156
109869150,signal centers assistive technology group ##  ##,,,chattanooga,109869150,"Signal Centers, Inc.",35.0264765,-85.2456637
109869160,"departments of internal medicine, hepatology ##  ##",,,,109869160,Internal Medicine-Gi Division,37.5400656,-77.4313437
109869171,department of medicine ## division of hospital medicine ##,,,"san francisco, ca",109869171,U C San Francisco (UCSF),37.7629651,-122.4574487
109869190,nutrient management spear program ##  ##,,,,109869190,Cornell University,42.4534492,-76.4735027
109869196,department of environment and conservation ## science division ##,,50 hayman road,"kensington, wa 6152",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869200,"mayoue, bates and nolen ##  ##",,,"atlanta, ga",109869200,Boyd Collar Nolen & Tuggle,33.8741414,-84.4583251
109869202,departmentof molecular physiology and biophysics ##  ##,,,,109869202,Department of Molecular Physiology and Biophysics,36.142027,-86.8018228
109869205,clare gladwin intermediate school district ##  ##,,,,109869205,Clare-Gladwin Regional Education Service District (RESD),43.9632912,-84.7645855
109869218,fundao municipal lar escola francisco de paula ## secretaria municipal da pessoa com deficincia ##,,,,109869218,Secretaria Municipal da Pessoa com Deficiência - CIAD Mestre Candeia,-22.9063352,-43.1936147
109869224,portland center for the study of chronic ## comorbid mental and physical disorders ## health services research and development service,,,portland,109869224,Portland Va Medical Center: Ganzini Linda MD,45.4962331,-122.6834829
109869245,"national network for public, health leadership development ##  ##",,,,109869245,Northwest Center for Public Health Practice,47.6610767,-122.316144
109869254,department of aerospace engineering ## 206 e talbot laboratory ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869259,"training, empowerment partners llc ##  ##",,,"cleveland, ga",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869260,"division of endocrinology, diabetes and metabolism ## department of internal medicine ##",,,,109869260,"Division of Endocrinology, Diabetes, and Metabolism",39.9475053,-75.1932096
109869272,dewberry ##  ##,,,"parsippany, nj",109869272,Dewberry,40.847507,-74.4255581
109869282,"aids clinical trials group operations, center ##  ##",,,"silver spring, md",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869285,glycomedical research institute ##  ##,,,"san diego, ca",109869285,University of California San Diego,32.8800604,-117.2340135
109869291,"docomo communications laboratories, inc##  ##",,,,109869291,"DOCOMO Innovations, Inc.",37.4079628,-122.1462858
109869304,division of biostatistics ## office of clinical research ##,,,minneapolis,109869304,University of Minnesota,44.97399,-93.2277285
109869371,north carolina disease event tracking and epidemiologic collection tool ##  ##,,,"chapel hill, nc",109869371,University of North Carolina at Chapel Hill,35.9049122,-79.0469134
109869385,cancer vaccine center ##  ##,,,"boston, ma 02115",109869385,Dana Farber Cancer Institute: Wu Catherine J MD,42.3376985,-71.1072967
109869392,departmentof counseling and school psychology ## university of wisconsin river falls ##,,,,109869392,University of Wisconsin - River Falls,44.8529252,-92.6213757
109869398,seacoast cancer center ##  ##,,,"portsmouth, nh",109869398,Seacoast Cancer Center,43.2132861,-70.8741301
109869401,halozyme therapeutics ##  ##,,,"san diego, ca",109869401,Halozyme Therapeutics Inc,32.908521,-117.229578
109869402,hybrid silica technologies ##  ##,,,"cambridge, ma",109869402,Hybrid Silica Technologies Inc,42.3633164,-71.1141696
109869406,ferrovial agraman us corporation ## chase park one ##,,7700 chevy chase drive,"austin, tx 78752",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869419,oakwood school ##  ##,,,"north hollywood, ca",109869419,Oakwood Elementary School,34.1502691,-118.3759109
109869420,physicians' health study ##  ##,,,"boston, ma",109869420,Brigham and Women's Hospital,42.3359248,-71.1066945
109869423,education resources ## american college of chest physicians ##,,,,109869423,American College of Chest Physicians,42.1017678,-87.8228446
109869436,department of human physiology ## institute of neuroscience ##,,,eugene,109869436,Institute of Neuroscience,44.045952,-123.0719833
109869438,"departments of medicine, biomedical engineering ## physics ctrain group ## campus box 8215",,660 south euclid ave.,"st louis, mo 63110",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869439,diabetes control and complications trial ## epidemiology of diabetes interventions and complications ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869441,cambridge systematics inc##  ##,,1 parkview drive,"mount vernon, oh 43050",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869447,pharmabio ## jacobs engineering ##,,,,109869447,Jacobs,40.0700922,-75.3048671
109869448,board of the globe research project ##  ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869449,departments of cancer biology ##  ##,,,harvard,109869449,Harvard University Department of Molecular and Cellular Biology,42.3788681,-71.1134425
109869450,florida state deptof transp## ms 19 ##,,605 suwannee street,"tallahassee, fl 32399-0450",109869450,Florida Department of Transportation,30.4370229,-84.2745932
109869469,sgt ##  ##,,,"greenbelt, md 20770",109869469,"SGT, Inc.",38.9933025,-76.8736474
109869488,genuspic ##  ##,,100 bluegrass commons blvd,"hendersonville, tn 37075",109869488,Pic North America,36.321805,-86.571618
109869501,"instde pesq, ensino e diagnosticos da associacao de pais e amigos dos excepcionais ipedapae ##  ##",,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869513,"center for delivery, organization and markets ## agency for healthcare research ana quality ahrq ##",,,,109869513,Agency For Healthcare Research,39.050166,-77.1273264
109869535,raytheon corporation ##  ##,,,"omaha, ne 68106",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869542,division of animal sciences ## missouri university ##,,,columbia,109869542,Division of Animal Sciences,38.9392604,-92.3160006
109869550,bridgton hospital ##  ##,,,me,109869550,Bridgton Hospital,44.0462042,-70.7152835
109869556,recovery opportunity center ##  ##,,,,109869556,Recovery Opportunity Center,33.478374,-112.0474298
109869559,departments of psychiatry ##  ##,,,,109869559,Department of Psychiatry,40.7392171,-73.9754976
109869573,"pearson, knowledge technologies ##  ##",,4940 pearl east circle,"boulder, co 80301",109869573,Pearson Knowledge Technologies,40.0202612,-105.2363284
109869575,hematopathology section ## laboratory of pathology lp ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869593,department of educational studies in psychology ## research methodology ## counseling,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869595,mechanical and aerospace engineering ## university at buttalo ub ##,,,,109869595,Mechanical and Aerospace Engineering,43.0022462,-78.7872559
109869600,mtpv corporation ##  ##,,,"boston, ma",109869600,Mtpv,30.4405057,-97.6969126
109869604,city of west des moines ##  ##,,p.o. box 65320,"west des moines, ia 50265",109869604,50265,41.5507357,-93.7333537
109869624,southwest shoulder elbow and hand center ##  ##,,,"tucson, az",109869624,SW Shoulder Elbow & Hand Center: Siegel David B MD,32.268014,-110.891999
109869648,cni center for brain and spinal tumors ##  ##,,,"englewood, co",109869648,CNI Center-Brain Spinal Tumors,39.6534679,-104.979334
109869664,family loss project in sherborn ##  ##,,,ma,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869671,research and community partnerships ##  ##,,,,109869671,Community Research Partners,39.9571318,-82.9885943
109869699,northwestern feinberg ## school of medicine ##,,,"evanston, il",109869699,Feinberg School of Medicine,41.8964357,-87.6196903
109869713,center for biomedical informatics and information technology ##  ##,,,"bethesda, md",109869713,National Institutes of Health,39.0042808,-77.1007955
109869720,department of pediatrics ## division of oncology ##,,,"milwaukee, wi.",109869720,Medical College of Wisconsin,43.043967,-88.020103
109869725,university ofwisconsin ##  ##,,,madison,109869725,University of Wisconsin-Madison,43.076592,-89.4124875
109869727,epidemic intelligence service ## office of workforce and career development assigned to influenza division ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869736,photonics knowledge transfer network ##  ##,,,,109869736,ESP Central Ltd,51.0618257,-0.3243397
109869741,college of health sciences ## tul university ##,,,cypress,109869741,Trident University,33.8056569,-118.0321
109869747,institute for communication technology and management ctm ##  ##,,,,109869747,University of Southern California,34.0223519,-118.285117
109869753,national agenda goal 8 ## consultant on the ecc ##,,19026 20th avenue nw,"shoreline, wa 98177-6479",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869789,mechanical and aeronautical engineering ##  ##,,,,109869789,Department of Mechanical and Aerospace Engineering,40.5222924,-74.4602756
109869792,"kx technologies, llc 55 ##  ##",,railroad ave,"west haven, ct 06516",109869792,KX Technologies LLC,41.2718216,-72.9673963
109869797,department of hematologic oncology ## blood disorders ## cleveland clinic taussig cancer institute,,,oh,109869797,"Dr. Brian J. Bolwell, MD",41.5026478,-81.6211117
109869800,united states federal penitentiary ##  ##,,,,109869800,Federal Bureau of Prisons,32.0847301,-110.865276
109869834,cfd consultants international ##  ##,,18310 southview avenue,"los gatos, ca 95033",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869844,asuza pacific university ##  ##,,,,109869844,Azusa Pacific University - East Campus,34.1300755,-117.8883593
109869848,2cancer research and biostatistics ##  ##,,,"seattle, wa",109869848,Cancer Research & Biostats,47.6166009,-122.3299011
109869873,ses group and associates ## llc ##,,,,109869873,Ses Group & Associates Llc,39.531517,-75.800762
109869884,molecular cell biology program ##  ##,,,,109869884,Molecular Cell Biology Program,38.6347966,-90.2630264
109869887,safe harbor behavioral health ##  ##,,,"erie, pa",109869887,Safe Harbor Behavioral Health,42.1019174,-80.1024498
109869893,technical staff ## ti's communications infrastructure ## voice group,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869907,cardiovascular special studies center ##  ##,,,"minneapolis, mn",109869907,Herzog Charles A MD,44.9720951,-93.2624033
109869910,polymers division ##  ##,,,"gaithersburg, md",109869910,National Institute of Standards and Technology,39.14004,-77.218506
109869928,information services division ## united airlines world headquarters whqkb ##,,,"chicago, il 60666",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869948,departments of psychiatry ##  ##,,,,109869948,Department of Psychiatry,40.7392171,-73.9754976
109869951,applied fluid dynamics analysis group ## td64 ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869962,departments of neurology and anesthesiology and critical care ##  ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869963,program in pharmacogenetics ## department of pharmacology ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869967,peo space systems ##  ##,,,"san diego, ca",109869967,G2 Software Systems,32.7555498,-117.2167657
109869970,centra cade ##  ##,,,,109869970,Azalea Park Centra Care,28.5366456,-81.310105
109869974,nci information systems ##  ##,,,,109869974,NCI Information Systems Inc,38.6002557,-89.9769673
109869986,mr research and development ## siemens healthcare ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109869990,university orthopedics ## 1405 south county trail ##,,,"east greenwich, ri 02818",109869990,"University Orthopedics, Inc",41.6583169,-71.498551
109869992,"whitman, requardt and associates, llp ##  ##",,3701 pender drive,"fairfax, va 22030",109869992,"Whitman, Requardt and Associates, LLP",38.8621503,-77.3310577
109869996,"economa agrcola universidad de cornell, eeuu ##  ##",,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109870013,department of civil and environmental engineering ## center of advanced materials ## purification of water with system,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109870014,northern california mutual ##  ##,,p.o. box 5940,"la quinta, ca 92248",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109870015,research triangle consultants ##  ##,,,,109870015,"MethodSense, Inc.",35.894368,-78.872546
109872651,concordia university ##  ##,,,,109872651,Concordia University Texas,30.420143,-97.8395755
109872653,woodside energy limited ##  ##,,,,109872653,Woodside Energy USA Inc,29.7497206,-95.4648025
109872720,departments of biostatistics ##  ##,,,memphis tn,109872720,St. Jude Children's Research Hospital,35.15353,-90.0427167
109872772,asla ##  ##,,,dallas,109872772,Berkenbile ASLA,32.783811,-96.809624
109872806,asla ##  ##,,,houston,109872806,Houston Arboretum & Nature Center,29.7652048,-95.452062
109872818,center for hydrothermal research ##  ##,,,,109872818,UCF NanoScience Technology Center,28.5863871,-81.1959117
109872836,agricultural and biological engineering ##  ##,,,,109872836,Department of Agricultural and Biological Engineering,40.1035969,-88.2260288
109872851,department of medicine ## division of pulmonary and critical care medicine ##,,,,109872851,UCSF Pulmonary Critical Care,37.7563854,-122.4045351
109872871,nielsen company ##  ##,,,,109872871,Nielsen Co,32.78135,-96.7964161
109872907,atandt labs research ##  ##,,,,109872907,AT&T Labs,40.3974568,-74.1356134
109872936,fox school of business ##  ##,,,,109872936,Fox School of Business,39.98025,-75.155765
109872938,##  ##,"dep. surg., cleveland, oh 44106",,,109872938,Department of Surgery,41.506086,-81.6050907
109872951,##  ##,"blank rome, llp, princeton, nj, usa.",,,109872951,Blank Rome LLP,40.317922,-74.652312
109872982,united states secretary of homeland security ##  ##,,,,109872982,U.S. Department of Homeland Security,29.9398221,-95.326521
109872996,department of radiology ## division of nuclear medicine ##,,,"chapel hill, nc 27599-7510",109872996,Unc Hospital Radiology Department,35.9052623,-79.0509735
109872997,pharmacy production laboratory pharmacist ##  ##,,,,109872997,Catalent Pharma Solutions,35.8336274,-78.8112163
109873002,maternidad concepcin palacios ## departamento de neonatologa ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873024,dickinson wright intellectual property academy ##  ##,,,,109873024,Dickinson Wright PLLC: Milton Harold,42.568375,-83.2314684
109873038,from the st thomas medical group ##  ##,,,,109873038,St Thomas Medical Group PLLC: Allen Jr Newton P MD,36.1294905,-86.8445189
109873045,dark energy survey collaboration ##  ##,,,,109873045,Texas A&M Science - College of Science,30.6196195,-96.3422253
109873059,clinical manager research portfolio ## emergency department calvary health care act ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873061,section of wildlife health ##  ##,,,,109873061,USGS National Wildlife Health Center,43.0491648,-89.4848925
109873073,phoenix college ## a maricopa community college ##,,,,109873073,Phoenix College,33.4833037,-112.0890211
109873091,center for judicial ethics ## american judicature society ##,,,,109873091,American Judicature Society,41.6002537,-93.6537078
109873096,usdepartment of energy nuclear hydrogen initiative ##  ##,,,,109873096,Pantex Plant,35.3091282,-101.5584754
109873098,"olive growing, milling techniques and systems, and olive oil quality ##  ##",,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873100,annie ecasey foundation ##  ##,,,,109873100,The Annie E Casey Foundation,39.297781,-76.6139066
109873102,gsa international division ##  ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873107,wsp gmbh anlagenbau fr die thermoprozesstechnik  thermoprocessing plants ##  ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873123,council on children with disabilities executive ## committee member at large ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873146,assote director for industry liaison ## the center for paper business and industry studies ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873172,faculdade de agronomia e medicina veterinriafamevufmt ##  ##,,fernando correa s/no,"78060-900, cuiab-mt",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873180,concrete home building council ## national association of home builders ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873187,cotsen institute of archaeology ##  ##,,,,109873187,UCLA Cotsen Institute of Archaeology,34.0729705,-118.442985
109873201,american psychiatric institute for research ## education psychiatric practice research network ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873204,energy and power systems practice ## frost and sullivan   south asia and middle east ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873222,space dynamics laboratory ##  ##,,"ondoyama-cho,narutaki","ukyo-ku, kyoto, 616-8255",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873235,oak ridqe national laboratory ##  ##,,,,109873235,Oak Ridge National Laboratory,35.9313167,-84.3104124
109873237,wilkinson of t mactechnologies ltd##  ##,,,,109873237,t-mac Technologies Ltd,53.25484,-1.427659
109873245,usepas indoor environments division ##  ##,,,,109873245,Indoor Air Quality Information,38.8861656,-77.0214389
109873253,phoenix contact automation systems ##  ##,,,,109873253,Phoenix Contact Inc,40.2287866,-76.7477884
109873260,usarmy natick rde center ##  ##,,,,109873260,Natick Research Center,42.289828,-71.3627923
109873266,stephanie wheeler associates ltd ##  ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873269,librarian at the university of ldaho ##  ##,,,,109873269,University of Idaho Library,46.7273654,-117.0142491
109873280,harlem dowling westside center ##  ##,,,,109873280,Harlem Dowling West Side Center,40.8087051,-73.9488943
109873285,claude ginet et pascale herrault ## infirmiers service prvention et contro de i'infection ## direction mdicale,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873287,the systematics research group ##  ##,,74 hermitage court,e1w 1pw,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873310,dispute resolution centre ##  ##,,,,109873310,South Island Dispute Resolution Centre,48.4352991,-123.4902213
109873315,"interconnect technology analysis, inc##  ##",,,"georgetown, tx",109873315,"AirBorn Interconnect, Inc.",30.6132095,-97.6782008
109873336,us mergers and acquisitions group ## mayer brown llp ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873338,national agrability project leader ##  ##,,,,109873338,Michigan AgrAbility,42.8855397,-85.369519
109873344,neuroscience institute ## saint francis medical ceter ##,,,"trenton, nj",109873344,St Francis Medical Center,40.216815,-74.7413879
109873354,centennial mental health center ##  ##,,,,109873354,Centennial Mental Health Center,39.3569069,-104.5940594
109873360,usda ars sw cotton ginning research lab ##  ##,,,,109873360,US Agricultural Department,32.2819759,-106.766475
109873373,forsyth center ##  ##,,,"cambridge, ma",109873373,The Forsyth Institute,42.3635818,-71.0790784
109873405,hoyle and harris dental practice ##  ##,,27 dudley st,"grimsby, ne lincolnshire, dn31 2aw",109873405,Harrison Hoyle Dental Practice,53.5636646,-0.0958901
109873406,magnetto wheels spa##  ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873407,engineering manager ## dow electronic materials ##,,,"marlborough, ma",109873407,The Dow Chemical Company,42.3316266,-71.5917152
109873408,bryan cave international trade llc ##  ##,,,,109873408,Bryan Cave Llc,39.0997311,-94.583692
109873417,center for meat safety ## quality and food safety cluster ## department of animal sciences,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873438,henry latimson center ##  ##,,,,109873438,Stimson Center,38.9063697,-77.0409173
109873446,"american society of hypertension, inc##  ##",,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873450,"department of surgery, oregon health ## sciences university ##",,,,109873450,Department of Neurological Surgery Oregon Health & Science University,45.4987783,-122.6711781
109873452,enigma marketing research ##  ##,,,,109873452,Enigma,46.6031208,-120.5010474
109873471,office of new drugs ## office of nonprescription products ## division of nonprescription clinical evaluation,,,,109873471,FDA,39.0361229,-76.9819306
109873483,crest center for nanomaterials characterization science and processing technology ##  ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873515,"departments of psychiatry, neurology and neuroscience ## program in cellular and olecular medicine ##",,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873517,pierre emmanuel morange pour le groupe de travail geht ##  ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873520,"infomc, inc##  ##",,,,109873520,"InfoMC, Inc",40.073161,-75.308774
109873533,marshall brown and associates ##  ##,,,,109873533,Brown Marshall H DDS,32.7248375,-97.3442303
109873539,"fisioterapeutaservicio de estancias diurnas la solanajccm durante la elaboracion, del estudio ##  ##",,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873540,seneca global it service private limited ##  ##,,,,109873540,SenecaGlobal IT Services Private Limited,17.4582999,78.37309
109873546,williams exploration and production ##  ##,,,tulsa,109873546,Williams Companies Inc.,36.1551536,-95.9906268
109873568,##  ##,"department of wildlife, fish, and conservation biology university of california one shields avenue davis, ca 95616-5270 usa",,,109873568,"Wildlife, Fish, & Conservation Biology",38.5353151,-121.7528956
109873569,"air supply, engineering and services ##  ##",,,,109873569,Air Engineering & Supply,44.9625565,-93.231995
109873576,center for chemical science and technology ##  ##,,,,109873576,Board on Chemical Sciences & Technology,38.896825,-77.0191053
109873589,jeffseron medical college ## thomas jeffseron university ##,,,philadlphia,109873589,Thomas Jefferson University,39.948555,-75.155896
109873596,center for change ##  ##,,,"rochester, ny",109873596,Sears Auto Center,43.203242,-77.6947658
109873617,north american contact dermatitis group ##  ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873642,mdecin griatre coordonnateur ## rsidences val de marnaises monsieur vincent ## association monsieur vincent,,,"saint joseph, cachan",Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873663,program on pediatric health services research ## department of pediatrics ##,,,,109873663,Boston Children's Hospital,42.337212,-71.1061415
109873694,parker group ##  ##,,,,109873694,Parker Group Inc,42.626561,-82.869036
109873706,logic technology development ## amd's ##,,,"sunnyvale, ca",109873706,AMD,37.3865343,-121.9993276
109873727,missouri supreme court ## missouri sentencing advisory commission ##,,,,109873727,Honorable Michael A Wolff,38.57809,-92.17468
109873732,methodist debakey heart and vascular center ##  ##,,,,109873732,Methodist Debakey Heart Center,29.7098385,-95.3997551
109873738,departments of transplantation biology program ##  ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873739,chartered institute of logistics ## supply chain integration technology forum ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873745,psychological studies institute ##  ##,,,,109873745,Institute for the Psychological Sciences,38.855817,-77.051528
109873750,institute of medical research ##  ##,,,"manhasset, ny",109873750,The Feinstein Institute for Medical Research,40.7756285,-73.7023206
109873778,international consulting firm moore and associates ##  ##,,,,109873778,"BDO USA, LLP",42.3563172,-71.0519451
109873814,oil and gas initiatives for rockwell automation inc##  ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873820,printovate inc## nemi large area flexible electronics ## twg technology working group,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873827,han guoqing cnpc america ltd##  ##,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873829,jump associates ##  ##,,,,109873829,Jump Associates LLC,37.5662804,-122.3243302
109873844,uspharmaceutical packaging ## department of cardiac implants ## nanotechnology in healthcare,,,,Can't Geocode,Can't Geocode,Can't Geocode,Can't Geocode
109873852,collier county comprehensive planning department ##  ##,,,,109873852,Collier County Community Dev,26.162676,-81.772692
